CGATS.17
BEGIN_DATA_FORMAT
SampleID	RGB_R	RGB_G	RGB_B	XYZ_X	XYZ_Y	XYZ_Z
END_DATA_FORMAT
NUMBER_OF_SETS 602
BEGIN_DATA
356	255	76	127	0.4765377	0.279647	0.2296774
357	255	76	153	0.4957257	0.2873222	0.3307342
358	255	76	178	0.5185843	0.2964657	0.4511233
359	255	76	204	0.5472133	0.3079173	0.6019025
360	255	76	229	0.5796476	0.320891	0.7727231
361	255	76	255	0.6187149	0.3365179	0.9784774
362	255	102	25	0.4616569	0.3083641	0.0444084
363	255	102	51	0.4658772	0.3100522	0.0666352
364	255	102	76	0.4729461	0.3128797	0.1038647
365	255	102	102	0.4838826	0.3172543	0.1614636
366	255	102	127	0.498206	0.3229837	0.2369002
367	255	102	153	0.517394	0.3306589	0.337957
368	255	102	178	0.5402527	0.3398024	0.4583461
369	255	102	204	0.5688817	0.351254	0.6091253
370	255	102	229	0.6013159	0.3642277	0.7799459
371	255	102	255	0.6403832	0.3798546	0.9857002
372	255	127	25	0.4900357	0.3651216	0.0538679
373	255	127	51	0.494256	0.3668097	0.0760948
374	255	127	76	0.5013249	0.3696373	0.1133243
375	255	127	102	0.5122614	0.3740119	0.1709232
376	255	127	127	0.5265848	0.3797412	0.2463598
377	255	127	153	0.5457728	0.3874164	0.3474166
378	255	127	178	0.5686315	0.3965599	0.4678057
379	255	127	204	0.5972604	0.4080115	0.6185849
380	255	127	229	0.6296947	0.4209852	0.7894055
381	255	127	255	0.668762	0.4366121	0.9951598
382	255	153	25	0.5280526	0.4411555	0.0665403
383	255	153	51	0.5322729	0.4428436	0.0887671
384	255	153	76	0.5393418	0.4456712	0.1259966
385	255	153	102	0.5502783	0.4500458	0.1835955
386	255	153	127	0.5646017	0.4557751	0.2590321
387	255	153	153	0.5837897	0.4634503	0.3600889
388	255	153	178	0.6066484	0.4725938	0.480478
389	255	153	204	0.6352774	0.4840454	0.6312572
390	255	153	229	0.6677117	0.4970191	0.8020778
391	255	153	255	0.7067789	0.512646	1.0078321
392	255	178	25	0.5733423	0.5317348	0.0816368
393	255	178	51	0.5775625	0.5334229	0.1038636
394	255	178	76	0.5846315	0.5362504	0.1410932
395	255	178	102	0.595568	0.540625	0.1986921
396	255	178	127	0.6098913	0.5463544	0.2741286
397	255	178	153	0.6290793	0.5540296	0.3751854
398	255	178	178	0.651938	0.5631731	0.4955745
399	255	178	204	0.680567	0.5746246	0.6463538
400	255	178	229	0.7130013	0.5875984	0.8171743
401	255	178	255	0.7520686	0.6032253	1.0229286
402	255	204	25	0.6300645	0.6451792	0.1005442
403	255	204	51	0.6342848	0.6468673	0.122771
404	255	204	76	0.6413537	0.6496949	0.1600006
405	255	204	102	0.6522902	0.6540695	0.2175995
406	255	204	127	0.6666136	0.6597988	0.293036
407	255	204	153	0.6858016	0.667474	0.3940928
408	255	204	178	0.7086603	0.6766175	0.5144819
409	255	204	204	0.7372892	0.6880691	0.6652612
410	255	204	229	0.7697235	0.7010428	0.8360817
411	255	204	255	0.8087908	0.7166697	1.041836
412	255	229	25	0.6943261	0.7737025	0.1219648
413	255	229	51	0.6985464	0.7753906	0.1441916
414	255	229	76	0.7056153	0.7782182	0.1814212
415	255	229	102	0.7165518	0.7825928	0.23902
416	255	229	127	0.7308752	0.7883221	0.3144566
417	255	229	153	0.7500632	0.7959973	0.4155134
418	255	229	178	0.7729219	0.8051408	0.5359025
419	255	229	204	0.8015509	0.8165924	0.6866817
420	255	229	229	0.8339852	0.8295661	0.8575023
421	255	229	255	0.8730524	0.845193	1.0632566
422	255	255	25	0.7717296	0.9285095	0.1477659
423	255	255	51	0.7759499	0.9301976	0.1699927
424	255	255	76	0.7830188	0.9330252	0.2072223
425	255	255	102	0.7939553	0.9373998	0.2648212
426	255	255	127	0.8082787	0.9431291	0.3402578
427	255	255	153	0.8274667	0.9508043	0.4413146
428	255	255	178	0.8503254	0.9599478	0.5617036
429	255	255	204	0.8789544	0.9713994	0.7124829
430	255	255	229	0.9113887	0.9843731	0.8833035
431	255	255	255	0.9504559	1	1.0890578
432	25	255	25	0.3633478	0.7179376	0.128623
433	25	255	51	0.3675681	0.7196257	0.1508498
434	25	255	76	0.374637	0.7224533	0.1880794
435	25	255	102	0.3855735	0.7268279	0.2456783
436	25	255	127	0.3998969	0.7325572	0.3211149
437	25	255	153	0.4190849	0.7402324	0.4221717
438	25	255	178	0.4419435	0.7493759	0.5425607
439	25	255	204	0.4705725	0.7608275	0.69334
440	25	255	229	0.5030068	0.7738012	0.8641606
441	25	255	255	0.5420741	0.7894281	1.0699149
442	51	255	25	0.3729909	0.7229098	0.1290751
443	51	255	51	0.3772112	0.724598	0.1513019
444	51	255	76	0.3842801	0.7274255	0.1885314
445	51	255	102	0.3952166	0.7318001	0.2461303
446	51	255	127	0.40954	0.7375295	0.3215669
447	51	255	153	0.428728	0.7452047	0.4226237
448	51	255	178	0.4515867	0.7543481	0.5430128
449	51	255	204	0.4802157	0.7657997	0.693792
450	51	255	229	0.51265	0.7787735	0.8646126
451	51	255	255	0.5517172	0.7944004	1.0703669
452	76	255	25	0.3891431	0.7312383	0.1298322
453	76	255	51	0.3933634	0.7329264	0.152059
454	76	255	76	0.4004323	0.735754	0.1892886
455	76	255	102	0.4113688	0.7401286	0.2468875
456	76	255	127	0.4256922	0.7458579	0.322324
457	76	255	153	0.4448802	0.7535331	0.4233808
458	76	255	178	0.4677388	0.7626766	0.5437699
459	76	255	204	0.4963678	0.7741282	0.6945492
460	76	255	229	0.5288021	0.7871019	0.8653697
461	76	255	255	0.5678694	0.8027288	1.071124
462	102	255	25	0.4141325	0.7441235	0.1310036
463	102	255	51	0.4183528	0.7458116	0.1532304
464	102	255	76	0.4254217	0.7486391	0.19046
465	102	255	102	0.4363582	0.7530137	0.2480588
466	102	255	127	0.4506816	0.7587431	0.3234954
467	102	255	153	0.4698696	0.7664183	0.4245522
468	102	255	178	0.4927283	0.7755618	0.5449413
469	102	255	204	0.5213572	0.7870134	0.6957205
470	102	255	229	0.5537915	0.7999871	0.8665411
471	102	255	255	0.5928588	0.815614	1.0722954
472	127	255	25	0.4468608	0.760999	0.1325377
473	127	255	51	0.4510811	0.7626871	0.1547645
474	127	255	76	0.45815	0.7655147	0.1919941
475	127	255	102	0.4690865	0.7698893	0.249593
476	127	255	127	0.4834099	0.7756186	0.3250295
477	127	255	153	0.5025979	0.7832938	0.4260863
478	127	255	178	0.5254566	0.7924373	0.5464754
479	127	255	204	0.5540856	0.8038889	0.6972547
480	127	255	229	0.5865199	0.8168626	0.8680752
481	127	255	255	0.6255871	0.8324895	1.0738295
482	153	255	25	0.4907046	0.7836059	0.1345929
483	153	255	51	0.4949249	0.7852941	0.1568197
484	153	255	76	0.5019938	0.7881216	0.1940493
485	153	255	102	0.5129303	0.7924962	0.2516482
486	153	255	127	0.5272537	0.7982256	0.3270847
487	153	255	153	0.5464417	0.8059008	0.4281415
488	153	255	178	0.5693004	0.8150443	0.5485306
489	153	255	204	0.5979293	0.8264958	0.6993098
490	153	255	229	0.6303636	0.8394696	0.8701304
491	153	255	255	0.6694309	0.8550965	1.0758847
492	178	255	25	0.5429357	0.8105376	0.1370412
493	178	255	51	0.547156	0.8122257	0.159268
494	178	255	76	0.5542249	0.8150533	0.1964976
495	178	255	102	0.5651614	0.8194279	0.2540965
496	178	255	127	0.5794848	0.8251572	0.329533
497	178	255	153	0.5986728	0.8328324	0.4305898
498	178	255	178	0.6215315	0.8419759	0.5509789
499	178	255	204	0.6501604	0.8534275	0.7017582
500	178	255	229	0.6825947	0.8664012	0.8725787
501	178	255	255	0.721662	0.8820281	1.078333
502	204	255	25	0.6083517	0.8442677	0.1401076
503	204	255	51	0.612572	0.8459558	0.1623344
504	204	255	76	0.6196409	0.8487834	0.199564
505	204	255	102	0.6305774	0.853158	0.2571629
