CGATS.17
FORMAT_VERSION	2
MEASUREMENT_SOURCE	Simulated sRGB data
BEGIN_DATA_FORMAT
SampleID	RGB_R	RGB_G	RGB_B	XYZ_X	XYZ_Y	XYZ_Z
END_DATA_FORMAT
NUMBER_OF_SETS	602
BEGIN_DATA
400	178	255	229	68.259473	86.640123	87.257875
401	178	255	255	72.166200	88.202813	107.833304
402	204	0	0	24.901284	12.839725	1.167248
403	204	0	25	25.076733	12.909904	2.091281
404	204	0	51	25.498761	13.078715	4.313962
405	204	0	76	26.205652	13.361472	8.036919
406	204	0	102	27.299302	13.798932	13.796809
407	204	0	127	28.731641	14.371867	21.340464
408	204	0	153	30.650441	15.139387	31.446143
409	204	0	178	32.936310	16.053735	43.485053
410	204	0	204	35.799207	17.198894	58.562978
411	204	0	229	39.042636	18.496265	75.645034
412	204	0	255	42.949363	20.058956	96.220463
413	204	25	0	25.248899	13.534956	1.283120
414	204	25	255	43.296978	20.754187	96.336335
415	204	51	0	26.085058	15.207274	1.561839
416	204	51	255	44.133137	22.426505	96.615054
417	204	76	0	27.485612	18.008381	2.028690
418	204	76	255	45.533691	25.227612	97.081906
419	204	102	0	29.652447	22.342051	2.750969
420	204	102	255	47.700526	29.561282	97.804184
421	204	127	0	32.490323	28.017804	3.696928
422	204	127	255	50.538402	35.237035	98.750143
423	204	153	0	36.292018	35.621192	4.964159
424	204	153	255	54.340097	42.840424	100.017374
425	204	178	0	40.820981	44.679120	6.473814
426	204	178	255	58.869060	51.898351	101.527029
427	204	204	0	46.493204	56.023565	8.364554
428	204	204	255	64.541283	63.242796	103.417770
429	204	229	0	52.919368	68.875893	10.506609
430	204	229	255	70.967447	76.095125	105.559824
431	204	255	0	60.659718	84.356592	13.086726
432	204	255	25	60.835167	84.426772	14.010759
433	204	255	51	61.257195	84.595583	16.233440
434	204	255	76	61.964086	84.878340	19.956397
435	204	255	102	63.057736	85.315800	25.716287
436	204	255	127	64.490075	85.888735	33.259942
437	204	255	153	66.408875	86.656255	43.365621
438	204	255	178	68.694744	87.570603	55.404531
439	204	255	204	71.557641	88.715762	70.482456
440	204	255	229	74.801070	90.013133	87.564512
441	204	255	255	78.707797	91.575824	108.139941
442	229	0	0	32.312378	16.661070	1.514643
443	229	0	25	32.487827	16.731249	2.438676
444	229	0	51	32.909855	16.900061	4.661357
445	229	0	76	33.616746	17.182817	8.384314
446	229	0	102	34.710396	17.620277	14.144204
447	229	0	127	36.142735	18.193213	21.687859
448	229	0	153	38.061535	18.960733	31.793538
449	229	0	178	40.347404	19.875080	43.832448
450	229	0	204	43.210301	21.020239	58.910373
451	229	0	229	46.453729	22.317610	75.992429
452	229	0	255	50.360456	23.880301	96.567858
453	229	25	0	32.659993	17.356301	1.630515
454	229	25	255	50.708072	24.575532	96.683730
455	229	51	0	33.496152	19.028619	1.909234
456	229	51	255	51.544231	26.247850	96.962449
457	229	76	0	34.896706	21.829726	2.376085
458	229	76	255	52.944785	29.048958	97.429301
459	229	102	0	37.063541	26.163396	3.098364
460	229	102	255	55.111620	33.382627	98.151579
461	229	127	0	39.901417	31.839149	4.044323
462	229	127	255	57.949496	39.058380	99.097538
463	229	153	0	43.703112	39.442538	5.311554
464	229	153	255	61.751190	46.661769	100.364769
465	229	178	0	48.232075	48.500465	6.821209
466	229	178	255	66.280154	55.719696	101.874424
467	229	204	0	53.904298	59.844910	8.711949
468	229	204	255	71.952376	67.064141	103.765165
469	229	229	0	60.330462	72.697238	10.854004
470	229	229	255	78.378541	79.916470	105.907219
471	229	255	0	68.070812	88.177938	13.434121
472	229	255	25	68.246261	88.248117	14.358154
473	229	255	51	68.668289	88.416929	16.580835
474	229	255	76	69.375180	88.699685	20.303792
475	229	255	102	70.468829	89.137145	26.063682
476	229	255	127	71.901169	89.710081	33.607337
477	229	255	153	73.819969	90.477601	43.713016
478	229	255	178	76.105838	91.391948	55.751926
479	229	255	204	78.968735	92.537107	70.829851
480	229	255	229	82.212163	93.834478	87.911907
481	229	255	255	86.118890	95.397169	108.487336
482	255	0	0	41.239080	21.263901	1.933082
483	255	0	25	41.414529	21.334080	2.857115
484	255	0	51	41.836557	21.502892	5.079796
485	255	0	76	42.543448	21.785648	8.802754
486	255	0	102	43.637098	22.223108	14.562643
487	255	0	127	45.069437	22.796044	22.106298
488	255	0	153	46.988237	23.563564	32.211977
489	255	0	178	49.274106	24.477911	44.250887
490	255	0	204	52.137003	25.623070	59.328812
491	255	0	229	55.380432	26.920441	76.410868
492	255	0	255	59.287159	28.483132	96.986297
493	255	25	0	41.586695	21.959132	2.048954
494	255	25	25	41.762145	22.029311	2.972987
495	255	25	51	42.184173	22.198123	5.195668
496	255	25	76	42.891063	22.480879	8.918625
497	255	25	102	43.984713	22.918339	14.678515
498	255	25	127	45.417053	23.491275	22.222170
499	255	25	153	47.335853	24.258795	32.327849
500	255	25	178	49.621722	25.173142	44.366759
501	255	25	204	52.484619	26.318301	59.444684
502	255	25	229	55.728047	27.615672	76.526740
503	255	25	255	59.634774	29.178363	97.102169
504	255	51	0	42.422855	23.631450	2.327673
505	255	51	25	42.598304	23.701630	3.251706
506	255	51	51	43.020332	23.870441	5.474388
507	255	51	76	43.727223	24.153197	9.197345
508	255	51	102	44.820872	24.590657	14.957235
509	255	51	127	46.253212	25.163593	22.500889
510	255	51	153	48.172012	25.931113	32.606569
511	255	51	178	50.457881	26.845460	44.645478
512	255	51	204	53.320778	27.990619	59.723403
513	255	51	229	56.564206	29.287991	76.805460
514	255	51	255	60.470933	30.850681	97.380889
515	255	76	0	43.823408	26.432557	2.794525
516	255	76	25	43.998857	26.502737	3.718558
517	255	76	51	44.420886	26.671548	5.941239
518	255	76	76	45.127776	26.954304	9.664196
519	255	76	102	46.221426	27.391764	15.424086
520	255	76	127	47.653766	27.964700	22.967740
521	255	76	153	49.572565	28.732220	33.073420
522	255	76	178	51.858434	29.646567	45.112330
523	255	76	204	54.721332	30.791726	60.190255
524	255	76	229	57.964760	32.089098	77.272311
525	255	76	255	61.871487	33.651789	97.847740
526	255	102	0	45.990243	30.766227	3.516803
527	255	102	25	46.165692	30.836407	4.440836
528	255	102	51	46.587720	31.005218	6.663517
529	255	102	76	47.294611	31.287974	10.386475
530	255	102	102	48.388261	31.725434	16.146364
531	255	102	127	49.820600	32.298370	23.690019
532	255	102	153	51.739400	33.065890	33.795698
533	255	102	178	54.025269	33.980237	45.834608
534	255	102	204	56.888166	35.125396	60.912533
535	255	102	229	60.131595	36.422768	77.994589
536	255	102	255	64.038322	37.985458	98.570018
537	255	127	0	48.828119	36.441980	4.462762
538	255	127	25	49.003569	36.512159	5.386795
539	255	127	51	49.425597	36.680971	7.609476
540	255	127	76	50.132488	36.963727	11.332433
541	255	127	102	51.226137	37.401187	17.092323
542	255	127	127	52.658477	37.974123	24.635978
543	255	127	153	54.577277	38.741643	34.741657
544	255	127	178	56.863146	39.655990	46.780567
545	255	127	204	59.726043	40.801149	61.858492
546	255	127	229	62.969471	42.098520	78.940548
547	255	127	255	66.876198	43.661211	99.515977
548	255	153	0	52.629814	44.045368	5.729993
549	255	153	25	52.805263	44.115548	6.654026
550	255	153	51	53.227291	44.284359	8.876708
551	255	153	76	53.934182	44.567116	12.599665
552	255	153	102	55.027832	45.004576	18.359554
553	255	153	127	56.460171	45.577511	25.903209
554	255	153	153	58.378971	46.345031	36.008889
555	255	153	178	60.664840	47.259379	48.047798
556	255	153	204	63.527737	48.404538	63.125723
557	255	153	229	66.771166	49.701909	80.207780
558	255	153	255	70.677893	51.264600	100.783208
559	255	178	0	57.158777	53.103296	7.239648
560	255	178	25	57.334227	53.173475	8.163681
561	255	178	51	57.756255	53.342287	10.386362
562	255	178	76	58.463145	53.625043	14.109319
563	255	178	102	59.556795	54.062503	19.869209
564	255	178	127	60.989135	54.635439	27.412864
565	255	178	153	62.907935	55.402959	37.518543
566	255	178	178	65.193804	56.317306	49.557453
567	255	178	204	68.056701	57.462465	64.635378
568	255	178	229	71.300129	58.759836	81.717434
569	255	178	255	75.206856	60.322527	102.292863
570	255	204	0	62.831000	64.447741	9.130389
571	255	204	25	63.006449	64.517920	10.054422
572	255	204	51	63.428477	64.686732	12.277103
573	255	204	76	64.135368	64.969488	16.000060
574	255	204	102	65.229018	65.406948	21.759950
575	255	204	127	66.661357	65.979884	29.303604
576	255	204	153	68.580157	66.747404	39.409284
